district,year,gdp_100m_cny,source_url,source_title,retrieved_date
浦东新区,2025,18769.12,https://www.pudong.gov.cn/zwgk/tjj_gkml_ywl_tjsj_gb/2026/135/355149.html,2025年上海市浦东新区国民经济和社会发展统计公报,2026-08-13
黄浦区,2025,3615.72,https://www.shhuangpu.gov.cn/zw/009002/009002032/009002032004/009002032004003/20260624/8ec0493d-c140-4dc7-b833-e942c4340922.html,2025年上海市黄浦区国民经济和社会发展统计公报,2026-08-13
徐汇区,2025,4153.08,https://www.xuhui.gov.cn/zfjg_qzfbm_tjj_tjgb/20260608/574052.html,2025年上海市徐汇区国民经济和社会发展统计公报,2026-08-13
长宁区,2025,2897.67,https://zwgk.shcn.gov.cn/xxgk/gmjjhshfztjgb-tjsj/2026/201/81949.html,2025年上海市长宁区国民经济和社会发展统计公报,2026-08-13
静安区,2025,3535.16,https://www.jingan.gov.cn/govxxgk/JC5/2026-04-29/eee7f706-aa43-4b4e-9985-da8e9d0ec836.html,2025年上海市静安区国民经济和社会发展统计公报,2026-08-13
普陀区,2025,1778.78,https://www.shpt.gov.cn/zhengwu/tjgb-tjjzdgz/2026/110/203309/743a454dd3234e9ba420370c34fb71f9.pdf,2025年普陀区国民经济和社会发展统计公报,2026-08-13
虹口区,2025,1607.78,https://www.shhk.gov.cn/shhk-zwgk/rest/frame/base/attach/attachAction/getContent?attachGuid=85db4ed9-df05-41d0-99de-f88b93f54352&isCommondto=true,2025年虹口区国民经济和社会发展统计公报,2026-08-13
杨浦区,2025,2805.51,https://www.shyp.gov.cn/zhengwu/ndjh-fgw/2026/28/1345.html,关于上海市杨浦区2025年国民经济和社会发展计划执行情况与2026年国民经济和社会发展计划草案的报告,2026-08-13
闵行区,2025,4268.99,https://www.fengxian.gov.cn/tjj/tjsj/tjyb/20260324/104653/9060374a5e5a4d2bbe2fbb5b92be3022.pdf,奉贤统计月报2026年第3期各区交流资料（一）,2026-08-13
宝山区,2025,2162.55,https://xxgk.shbsq.gov.cn/article.html?infoid=b6b18e3f-568a-46b4-9002-b346fca448c2,2025年上海市宝山区国民经济和社会发展统计公报,2026-08-13
嘉定区,2025,3075.6,https://www.jiading.gov.cn/publicity/jggk/tjsj2__publicity/fdzdgknr/tjsj97/tjgb97/196605,2025年上海市嘉定区国民经济和社会发展统计公报,2026-08-13
金山区,2025,1283.94,https://www.jinshan.gov.cn/zhengwu/zwgk-jstj/2026/97/8075.html,2025年金山区国民经济和社会发展统计公报,2026-08-13
松江区,2025,2375.42,https://www.songjiang.gov.cn/shsj_main/4fad82e7-2223-4bfe-93c0-eefc0a606535/a9519508-886b-406f-b92b-de99075fa598/2025%E5%B9%B4%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%9D%BE%E6%B1%9F%E5%8C%BA%E5%9B%BD%E6%B0%91%E7%BB%8F%E6%B5%8E%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,2025年上海市松江区国民经济和社会发展统计公报,2026-08-13
青浦区,2025,1953.42,https://www.shqp.gov.cn/stat/stat/upload/202604/0410_090155_617.pdf,2025年上海市青浦区国民经济和社会发展统计公报,2026-08-13
奉贤区,2025,1724.9,https://www.fengxian.gov.cn/tjj/tjsj/tjgb/20260508/106719.html,2025年上海市奉贤区国民经济和社会发展统计公报,2026-08-13
崇明区,2025,461.15,https://www.shcm.gov.cn/govxxgk/qtjj/2026-08-07/a36aa3c7-c4e0-4bad-8835-317974330fe6.html,2025年上海市崇明区国民经济和社会发展统计公报,2026-08-13
