district,accounting_stratum_id,control,control_type,boundary_source,reach_intersection_area_share,distance_to_50min_boundary_m,review_reason,source_map,source_map_service,review_date,review_status,discrepancy_description,could_materially_change_reach_employment,reviewer,official_export_bbox_wgs84,official_export_pixels,official_base_sha256,official_label_sha256,review_overlay_sha256,screenshot_redistributed,review_limitation
徐汇区,310104003000,天平路街道,street,OpenStreetMap admin_level=8 relation,0.9296216633968554,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104004000,湖南路街道,street,OpenStreetMap admin_level=8 relation,0.9072360539495576,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104007000,斜土路街道,street,OpenStreetMap admin_level=8 relation,0.7752265719861843,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104008000,枫林路街道,street,OpenStreetMap admin_level=8 relation,0.8536845203738695,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104011000,田林街道,street,OpenStreetMap admin_level=8 relation,0.0,499.4157026604311,within 500 m of boundary,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104014000,徐家汇街道,street,OpenStreetMap admin_level=8 relation,0.3543592524646977,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104016000,龙华街道,street,OpenStreetMap admin_level=8 relation,0.02862602854228743,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
徐汇区,310104017000,漕河泾街道,street,OpenStreetMap admin_level=8 relation,0.0,281.24008939297136,within 500 m of boundary,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
普陀区,310107005000,曹杨新村街道,street,OpenStreetMap admin_level=8 relation,0.008807491328720296,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
普陀区,310107014000,长风新村街道,street,OpenStreetMap admin_level=8 relation,0.08068165466800721,0.0,partially intersected,https://shanghai.tianditu.gov.cn/map/views/standardMap.html,http://mape.shanghai-map.net/arcgis/rest/services/SHMAP_D/MapServer,2026-08-19,pass,"No material displacement visible against official SHMAP_D/LAN road, water, and named-place context at the reviewed scale. Pass means no visible contradiction, not official-boundary equivalence.",no,Codex visual audit for Jinke employment benchmark v1,"121.33,31.015,121.83,31.325",4096x2540,817441269b0d9074334e41388b0c92868acb202ccdd89c29b4ee29d0223c8fbe,c329d544a994190f7f37b65fef536b2bc0b2e0df4a4f050f8e0dc5e07ac81b7b,c86463911ce2c1e36fb168e78f266bc633251ad46c0a25c9b93a0a5ee3af5a8c,False,"The official display service is validation cartography, not a queryable street/town feature layer. Quantified boundary displacement sensitivity is therefore retained."
