limit_minutes,accounting_stratum_id,control_name,zone_employment,selected_support,selected_support_area_km2,selected_uniform_employment_inside,selected_building_employment_inside,selected_calibrated_employment_inside,official_planning_source,official_reported_planning_area_km2,planning_interpretation,planning_interpretation_calibrated_employment_inside,conservative_lower_employment_inside,conservative_upper_employment_inside,source_geometry_redistributed,geometry_is_approximate
10,310115501000,中国（上海）自由贸易试验区（保税片区）,149000,Ruiduobao 2020 statistical polygon,22.97572364836535,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/qt-bsqglj/2024/200/328852.html,17.11,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,149000.0,False,True
20,310115501000,中国（上海）自由贸易试验区（保税片区）,149000,Ruiduobao 2020 statistical polygon,22.97572364836535,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/qt-bsqglj/2024/200/328852.html,17.11,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,149000.0,False,True
30,310115501000,中国（上海）自由贸易试验区（保税片区）,149000,Ruiduobao 2020 statistical polygon,22.97572364836535,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/qt-bsqglj/2024/200/328852.html,17.11,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,149000.0,False,True
40,310115501000,中国（上海）自由贸易试验区（保税片区）,149000,Ruiduobao 2020 statistical polygon,22.97572364836535,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/qt-bsqglj/2024/200/328852.html,17.11,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,149000.0,False,True
50,310115501000,中国（上海）自由贸易试验区（保税片区）,149000,Ruiduobao 2020 statistical polygon,22.97572364836535,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/qt-bsqglj/2024/200/328852.html,17.11,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,149000.0,False,True
10,310115502000,金桥经济技术开发区,203000,Ruiduobao 2020 statistical polygon,19.475692467276037,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/006003002/2022/302/257742.html,29.38,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,203000.0,False,True
20,310115502000,金桥经济技术开发区,203000,Ruiduobao 2020 statistical polygon,19.475692467276037,0.0,0.0,0.0,https://www.pudong.gov.cn/zwgk/006003002/2022/302/257742.html,29.38,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,0.0,0.0,203000.0,False,True
30,310115502000,金桥经济技术开发区,203000,Ruiduobao 2020 statistical polygon,19.475692467276037,2763.3404462641756,439.10881089791235,1725.40403685609,https://www.pudong.gov.cn/zwgk/006003002/2022/302/257742.html,29.38,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,3380.212001729133,0.0,203000.0,False,True
40,310115502000,金桥经济技术开发区,203000,Ruiduobao 2020 statistical polygon,19.475692467276037,27997.471262384435,7533.431867772206,17721.541538740967,https://www.pudong.gov.cn/zwgk/006003002/2022/302/257742.html,29.38,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,22666.464397347056,0.0,203000.0,False,True
50,310115502000,金桥经济技术开发区,203000,Ruiduobao 2020 statistical polygon,19.475692467276037,96269.49293723362,64690.403284928216,79079.6303911662,https://www.pudong.gov.cn/zwgk/006003002/2022/302/257742.html,29.38,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,83487.15884501196,0.0,203000.0,False,True
10,310115503000,张江高科技园区,469000,Ruiduobao 2020 statistical polygon,18.30313339122193,34220.07228959211,99382.64029540337,62717.82175869926,https://www.pudong.gov.cn/zwgk/14482.gkml_ywl_sthjgl/2025/171/341785.html,28.26,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,55914.83184078643,0.0,469000.0,False,True
20,310115503000,张江高科技园区,469000,Ruiduobao 2020 statistical polygon,18.30313339122193,139970.74952539202,253910.68614161448,190588.8070147914,https://www.pudong.gov.cn/zwgk/14482.gkml_ywl_sthjgl/2025/171/341785.html,28.26,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,176560.93665360368,0.0,469000.0,False,True
30,310115503000,张江高科技园区,469000,Ruiduobao 2020 statistical polygon,18.30313339122193,270954.3283120303,393295.56947388034,329801.06947690516,https://www.pudong.gov.cn/zwgk/14482.gkml_ywl_sthjgl/2025/171/341785.html,28.26,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,313890.07716001384,0.0,469000.0,False,True
40,310115503000,张江高科技园区,469000,Ruiduobao 2020 statistical polygon,18.30313339122193,380894.56380045903,454992.70473292825,424011.6695505592,https://www.pudong.gov.cn/zwgk/14482.gkml_ywl_sthjgl/2025/171/341785.html,28.26,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,414799.30461910047,0.0,469000.0,False,True
50,310115503000,张江高科技园区,469000,Ruiduobao 2020 statistical polygon,18.30313339122193,449559.39354088204,467789.9197657972,461775.57150815486,https://www.pudong.gov.cn/zwgk/14482.gkml_ywl_sthjgl/2025/171/341785.html,28.26,area-matched morphology of the accounting-aligned support; not an official vector and not assumed equal to the census stratum,457633.8473524457,0.0,469000.0,False,True
