district,official_control_code_2023,official_control_name_2023,published_control_label,control_type,accounting_stratum_id,employment_nominal,employment_reconciled,employment_rounding_lower,employment_rounding_upper_exclusive,rounding_increment_people,bulletin_unit,bulletin_rounding_note,subtotal_group,table_page_reference,employment_universe,reference_date,individual_business_included,geographic_table_exclusions,publication_url,official_code_reference_url,osm_relation_id,geometry_source,geometry_is_approximate,name_crosswalk_note,reconciliation_note
黄浦区,310101002000,南京东路街道,南京东路街道,street,310101002000,101851,101851,101851,101851,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12236005,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101013000,外滩街道,外滩街道,street,310101013000,113352,113352,113352,113352,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235857,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101015000,半淞园路街道,半淞园路街道,street,310101015000,30334,30334,30334,30334,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235902,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101017000,小东门街道,小东门街道,street,310101017000,126442,126442,126442,126442,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235905,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101018000,豫园街道,豫园街道,street,310101018000,19681,19681,19681,19681,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235904,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101019000,老西门街道,老西门街道,street,310101019000,16323,16323,16323,16323,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235903,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101020000,五里桥街道,五里桥街道,street,310101020000,45959,45959,45959,45959,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235959,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101021000,打浦桥街道,打浦桥街道,street,310101021000,49936,49936,49936,49936,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12235958,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101022000,淮海中路街道,淮海中路街道,street,310101022000,81561,81561,81561,81561,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12236003,OpenStreetMap,True,exact official-name match,nominal midpoint retained
黄浦区,310101023000,瑞金二路街道,瑞金二路街道,street,310101023000,52840,52840,52840,52840,1,persons,exact person rows,ordinary,Table 1-5,2023 secondary- and tertiary-sector legal-entity workplace employment,2023-12-31,False,enterprise legal-unit data returned by financial regulators,https://www.shhuangpu.gov.cn/uploadfile/fcba008c-ee33-44f4-bfe0-8cbb16faaf83/%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%BB%84%E6%B5%A6%E5%8C%BA%E7%AC%AC%E4%BA%94%E6%AC%A1%E5%85%A8%E5%9B%BD%E7%BB%8F%E6%B5%8E%E6%99%AE%E6%9F%A5%E4%B8%BB%E8%A6%81%E6%95%B0%E6%8D%AE%E5%85%AC%E6%8A%A5%EF%BC%88%E6%9C%80%E7%BB%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%891%E5%8F%B7.pdf,https://www.stats.gov.cn/hd/lyzx/zxgk/202401/t20240104_1946235.html,12236004,OpenStreetMap,True,exact official-name match,nominal midpoint retained
