district,district_en,employment,priority_district,reference_date,employment_universe,individual_business_included,individual_business_employment_reported_separately,individual_business_source_reference,source_url,source_table
黄浦区,Huangpu,712613,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
徐汇区,Xuhui,1027746,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,17098,"Xuhui Table 1-8, printed/PDF page 8; excluded from benchmark",https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
长宁区,Changning,602150,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
静安区,Jing'an,973987,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
普陀区,Putuo,524969,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
虹口区,Hongkou,409389,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
杨浦区,Yangpu,510562,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
闵行区,Minhang,1278262,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
宝山区,Baoshan,766004,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
嘉定区,Jiading,873958,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
浦东新区,Pudong,2879157,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
金山区,Jinshan,393752,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
松江区,Songjiang,852240,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
青浦区,Qingpu,549805,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
奉贤区,Fengxian,583748,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
崇明区,Chongming,161453,False,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02
