district,industry,individual_business_employment,unit,table_page_reference,employment_universe,included_in_benchmark_denominator,publication_url
徐汇区,Manufacturing,129,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Construction,32,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Wholesale and retail,8477,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,"Transport, storage and post",134,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Accommodation and catering,5253,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Real estate,173,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Leasing and business services,148,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,"Resident services, repair and other services",2623,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,Education,14,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
徐汇区,"Culture, sports and entertainment",115,persons,"Table 1-8, printed/PDF page 8",individual-business workers (separate universe),False,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c06982a9c100198f528792809df
