district,support_classification,control_count,official_control_employment,uniform_jobs_inside,building_jobs_inside,ppml_jobs_inside,summed_local_model_spread_jobs,district_en,exact_district_employment,share_of_shanghai_denominator_percentage,share_of_district_employment_percentage,ppml_share_of_current_50min_numerator_percentage
黄浦区,effectively_fully_inside,7,448634,448634.0,448634.0,448634.0,5.275069270282984e-11,Huangpu,712613,3.4247406161699474,62.95619080763332,12.15395967688982
黄浦区,effectively_fully_outside,0,0,0.0,0.0,0.0,0.0,Huangpu,712613,0.0,0.0,0.0
黄浦区,materially_partially_intersected,3,189645,175871.79716283124,184464.3987804391,178311.51524202374,8592.601617607885,Huangpu,712613,1.4476944104850498,26.61262143688089,4.830643611890051
徐汇区,effectively_fully_inside,0,0,0.0,0.0,0.0,0.0,Xuhui,1027746,0.0,0.0,0.0
徐汇区,effectively_fully_outside,7,485400,0.0,0.0,0.0,0.0,Xuhui,1027746,3.7054014967409796,47.2295683953039,0.0
徐汇区,materially_partially_intersected,6,469000,247859.57818333764,274133.6857758158,270813.33042007283,32536.87464517361,Xuhui,1027746,3.580208697922372,45.633843381535904,7.3366135823183365
长宁区,effectively_fully_inside,1,37808,37807.99999999999,37807.99999999999,37807.99999999999,0.0,Changning,602150,0.2886152035203604,6.278834177530515,1.0242578749355828
长宁区,effectively_fully_outside,1,101760,0.0,0.0,0.0,0.0,Changning,602150,0.7768060492549692,16.899443660217553,0.0
长宁区,materially_partially_intersected,8,457408,136996.42664913952,154216.30359090705,146296.59600083614,33030.760748776134,Changning,602150,3.491718763537903,75.96246782363198,3.9633262941738767
静安区,effectively_fully_inside,3,279000,279000.0,279000.0,279000.0,2.1827872842550278e-11,Jing'an,973987,2.1298043213653344,28.645146187782792,7.558398939563786
静安区,effectively_fully_outside,4,249000,0.0,0.0,0.0,0.0,Jing'an,973987,1.9007931040142232,25.565022941784644,0.0
静安区,materially_partially_intersected,7,389000,315052.90170689224,312361.07450986607,321142.4280555503,34305.25941305648,Jing'an,973987,2.969512118319409,39.938931423109345,8.700080959369215
普陀区,effectively_fully_inside,0,0,0.0,0.0,0.0,0.0,Putuo,524969,0.0,0.0,0.0
普陀区,effectively_fully_outside,6,287000,0.0,0.0,0.0,0.0,Putuo,524969,2.1908739793256307,54.66989479378782,0.0
普陀区,materially_partially_intersected,4,225000,30991.586089099786,31513.36271065663,29384.7141858644,13882.921169225077,Putuo,524969,1.717584130133334,42.85967361882321,0.7960623388595786
虹口区,effectively_fully_inside,1,40429,40429.00000000001,40429.0,40429.0,7.275957614183426e-12,Hongkou,409389,0.3086231502096025,9.875448534279133,1.0952634793104814
虹口区,effectively_fully_outside,2,52708,0.0,0.0,0.0,0.0,Hongkou,409389,0.40235744147141234,12.874796342842625,0.0
虹口区,materially_partially_intersected,5,286696,205505.72073317558,231049.35724194493,210336.49946944098,30047.96737869311,Hongkou,409389,2.1885533323231394,70.03021576056025,5.698233600506744
杨浦区,effectively_fully_inside,0,0,0.0,0.0,0.0,0.0,Yangpu,510562,0.0,0.0,0.0
杨浦区,effectively_fully_outside,4,96893,0.0,0.0,0.0,0.0,Yangpu,510562,0.739652796093374,18.977714753546092,0.0
杨浦区,materially_partially_intersected,8,404130,205180.71300545294,204292.6324739451,200663.5952201336,28145.631119615235,Yangpu,510562,3.085010108936819,79.15395191964933,5.436184606884999
浦东新区,effectively_fully_inside,1,153750,153750.0,153750.0,153750.0,0.0,Pudong,2879157,1.173682488924445,5.3401047598307425,4.165246727447785
浦东新区,effectively_fully_outside,10,514000,0.0,0.0,0.0,0.0,Pudong,2879157,3.923725523949039,17.852447782458547,0.0
浦东新区,materially_partially_intersected,28,1947250,1224156.633573009,1270704.1113648354,1241914.3938282842,151486.5629263494,Pudong,2879157,14.864736432898376,67.63264386068562,33.64474708724268
