accounting_stratum_id,district,control_name,control_type,official_control_employment,area_fraction_inside,uniform_jobs_inside,building_jobs_inside,ppml_jobs_inside,model_max_minus_min_jobs,model_difference_shanghai_percentage_points,partial_uncertainty_rank,uncertainty_priority_rank_within_14,feasibility_cost_rank_within_14,feasibility_cost,status,public_finer_census_breakdown_found,direct_inside_outside_employment_data_found,preferred_next_evidence,expected_usefulness
310115502000,浦东新区,金桥经济技术开发区,functional_zone,203000,0.4742339553558306,96269.49293723362,64690.403284928216,79079.6303911662,31579.089652305403,0.241065525470478,1.0,1,11,HIGH: negotiated workplace data plus census-zone membership/support resolution,STRONG INDEPENDENT PROXY AVAILABLE,False,False,2023 work-population grid plus an authoritative census-zone establishment roster/polygon,"Largest local spread; industrial/office building functions can test concentration, but only a zone-member roster or workplace grid can overcome the approximate census-zone support."
310109011000,虹口区,广中路街道,street,33773,0.1302123987107772,4397.6633416581135,28386.686910754444,9886.41610218185,23989.02356909633,0.183125183020775,2.0,2,4,LOW-MEDIUM: compact ordinary control and a large existing model disagreement,STRONG INDEPENDENT PROXY AVAILABLE,False,False,"CMAB building function/volume pilot, validated with work-population grid or insured establishments",Second-largest spread and the largest ordinary-control disagreement; building-level function can directly test whether JRC concentrates too much employment inside the small reached segment.
310115130000,浦东新区,三林镇,town,96000,0.1729278913029438,16601.077565081996,35715.87739033899,23350.623005726266,19114.799825256992,0.145916785913497,3.0,3,13,HIGH: mixed town; a workplace-population grid or insured-establishment census is needed,ONLY EXISTING JRC/POI-TYPE PROXIES AVAILABLE,False,False,2023 work-population grid; enterprise insured counts only as a secondary check,"Mixed residential, logistics, commercial, and institutional land use makes generic building/POI weights weak; repeated work-population observations are the useful discriminator."
310115503000,浦东新区,张江高科技园区,functional_zone,469000,0.9585488135200044,449559.3935408821,467789.9197657972,461775.57150815486,18230.526224915116,0.1391665001239722,4.0,4,12,HIGH: negotiated workplace data plus census-zone membership/support resolution,STRONG INDEPENDENT PROXY AVAILABLE,False,False,2023 work-population grid plus an authoritative census-zone establishment roster/polygon,"Large workforce and boundary uncertainty; R&D/industrial building functions help, but the support is already 95.85% inside and planning-area statistics do not identify the census stratum."
310104014000,徐汇区,徐家汇街道,street,216300,0.3543592524646977,76647.90630811235,89511.80695358531,92205.9435282855,15558.037220173152,0.1187655014461917,5.0,5,1,LOW-MEDIUM: compact ordinary control; open building data plus multiple metro anchors,STRONG INDEPENDENT PROXY AVAILABLE,False,False,CMAB plus 2023 work-population grid; metro exits as validation only,Dense office/retail/education nodes and multiple stations make building-level function and mobile work population highly discriminating across the reach boundary.
310106015000,静安区,天目西路街道,street,161000,0.7724532320332728,124364.97035736233,137627.09116759687,133799.72863070754,13262.120810234555,0.101239147713644,6.0,6,2,LOW-MEDIUM: compact ordinary control; open building data plus rail/metro anchors,STRONG INDEPENDENT PROXY AVAILABLE,False,False,CMAB plus 2023 work-population grid; rail/metro exits as validation only,"Rail-station, office, hotel, and wholesale clusters are spatially concentrated; building-level function and work population can distinguish the reached southern/eastern portion."
310115132000,浦东新区,周浦镇,town,48000,0.1988133768256866,9543.04208763294,21712.5623393146,11859.78051756424,12169.52025168166,0.0928985549138872,7.0,7,14,HIGH: mixed town; a workplace-population grid or insured-establishment census is needed,ONLY EXISTING JRC/POI-TYPE PROXIES AVAILABLE,False,False,2023 work-population grid; enterprise insured counts only as a secondary check,Mixed town with new development and industrial/medical anchors; public building classes alone are unlikely to map workplace intensity reliably.
310110019000,杨浦区,五角场街道,street,105944,0.2646377431397277,28036.781059195568,16371.947652565432,22111.686493872305,11664.833406630136,0.0890459232883425,8.0,8,3,LOW-MEDIUM: compact ordinary control; official commercial/innovation anchors plus metro,STRONG INDEPENDENT PROXY AVAILABLE,False,False,CMAB plus 2023 work-population grid; metro and official anchors as validation,"University, office, retail, and innovation clusters are identifiable at building level; mobile work population would separate them from surrounding residential blocks."
310105008000,长宁区,仙霞新村街道,street,20827,0.2610153411658627,5436.166510461033,16138.928158227694,8444.509023936263,10702.761647766662,0.0817017491324609,9.0,9,7,MEDIUM: office/residential mixture; mobile work population materially preferable,ONLY EXISTING JRC/POI-TYPE PROXIES AVAILABLE,False,False,2023 work-population grid or geocoded insured-establishment counts,Office corridors coexist with large residential compounds; mobile work population or insured-establishment points are needed to avoid treating floor area as workplace intensity.
310106017000,静安区,宝山路街道,street,21000,0.8691248323886052,18251.62148016028,10776.752766707648,16427.216275001087,7474.868713452632,0.057060959453584,10.0,10,6,MEDIUM: mixed land use; building and station proxies are indirect,ONLY EXISTING JRC/POI-TYPE PROXIES AVAILABLE,False,False,2023 work-population grid or geocoded insured-establishment counts,"Small mixed inner-city control; fine building data can test morphology, but workplace counts remain indirect."
