district,industry_code,industry_name,official_city_subgroup_employment,official_district_72_employment,estimated_district_subgroup_employment,allocation_method,district_subgroup_is_modelled,geometry_or_spatial_allocation_used,reference_date,employment_universe
黄浦区,721,组织管理服务,228288,191187,22919,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,721,组织管理服务,228288,151850,18204,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,721,组织管理服务,228288,106199,12731,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,721,组织管理服务,228288,228852,27434,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,721,组织管理服务,228288,88096,10561,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,721,组织管理服务,228288,54193,6497,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,721,组织管理服务,228288,55036,6598,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,721,组织管理服务,228288,185963,22293,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,721,组织管理服务,228288,166347,19941,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,721,组织管理服务,228288,95276,11422,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,721,组织管理服务,228288,363367,43560,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,721,组织管理服务,228288,31730,3804,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,721,组织管理服务,228288,68145,8169,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,721,组织管理服务,228288,44055,5281,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,721,组织管理服务,228288,54954,6588,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,721,组织管理服务,228288,19072,2286,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
黄浦区,723,法律服务,50311,191187,5051,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,723,法律服务,50311,151850,4012,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,723,法律服务,50311,106199,2806,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,723,法律服务,50311,228852,6046,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,723,法律服务,50311,88096,2327,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
