district,industry_code,industry_name,classification_level,core_office,core_plus_full_row,broad_office,district_industry_employment,official_city_industry_employment,district_share_of_city_industry_percentage,reference_date,employment_universe,source_table,source_url
黄浦区,I,信息传输、软件和信息技术服务业,section,True,True,True,35032,1058551,3.309429588182336,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
徐汇区,I,信息传输、软件和信息技术服务业,section,True,True,True,138974,1058551,13.128701404089174,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
长宁区,I,信息传输、软件和信息技术服务业,section,True,True,True,65953,1058551,6.2304981054290245,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
静安区,I,信息传输、软件和信息技术服务业,section,True,True,True,85949,1058551,8.119495423460938,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
普陀区,I,信息传输、软件和信息技术服务业,section,True,True,True,57019,1058551,5.38651420668442,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
虹口区,I,信息传输、软件和信息技术服务业,section,True,True,True,21097,1058551,1.993007422410446,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
杨浦区,I,信息传输、软件和信息技术服务业,section,True,True,True,82021,1058551,7.748422135541887,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
闵行区,I,信息传输、软件和信息技术服务业,section,True,True,True,108629,1058551,10.262046892402916,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
宝山区,I,信息传输、软件和信息技术服务业,section,True,True,True,33178,1058551,3.134284507784698,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
嘉定区,I,信息传输、软件和信息技术服务业,section,True,True,True,29735,1058551,2.809028568297607,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
浦东新区,I,信息传输、软件和信息技术服务业,section,True,True,True,327781,1058551,30.96506450799253,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
金山区,I,信息传输、软件和信息技术服务业,section,True,True,True,4499,1058551,0.4250149496812152,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
松江区,I,信息传输、软件和信息技术服务业,section,True,True,True,21985,1058551,2.076895680982777,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
青浦区,I,信息传输、软件和信息技术服务业,section,True,True,True,39045,1058551,3.688532720671937,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
奉贤区,I,信息传输、软件和信息技术服务业,section,True,True,True,6707,1058551,0.6336019709962014,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
崇明区,I,信息传输、软件和信息技术服务业,section,True,True,True,947,1058551,0.08946191539188948,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
