district,official_all_industry_employment,core_office_employment_official,business_services_72_employment_official,core_plus_selected_72_employment_estimate,core_plus_office_employment_estimate,core_plus_721_excluded_selected_72_employment_estimate,core_plus_721_excluded_office_employment_estimate,core_plus_721_sensitivity_difference,broad_professional_institutional_employment_official,core_plus_share_of_district_employment_percentage,core_plus_721_excluded_share_of_district_employment_percentage,allocation_method,core_and_full_72_are_official,core_plus_72_is_modelled,no_spatial_allocation_performed,reference_date,employment_universe
黄浦区,712613,158769,191187,74607,233376,51688,210457,22919,478374,32.7493323865829,29.533140708912132,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,1027746,258823,151850,59256,318079,41052,299875,18204,571893,30.949183942335946,29.177929177053475,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,602150,105111,106199,41442,146553,28711,133822,12731,299213,24.33828780204268,22.224030557170142,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,973987,194334,228852,89305,283639,61871,256205,27434,604189,29.121435912388975,26.304765874698532,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,524969,100906,88096,34377,135283,23816,124722,10561,288085,25.769712116334485,23.75797428038608,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,409389,71077,54193,21148,92225,14651,85728,6497,226952,22.52747386959591,20.94047470742985,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,510562,146985,55036,21477,168462,14879,161864,6598,322470,32.9954050634399,31.703103638735353,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,1278262,229092,185963,72569,301661,50276,279368,22293,605180,23.599309061835523,21.855300400074476,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,766004,73770,166347,64914,138684,44973,118743,19941,353767,18.104866293126406,15.501616179549977,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,873958,112899,95276,37180,150079,25758,138657,11422,307556,17.17233551269054,15.865407719821775,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,2879157,816970,363367,141797,958767,98237,915207,43560,1534797,33.300268099308234,31.787325248327896,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,393752,20472,31730,12382,32854,8578,29050,3804,103875,8.343830634511063,7.377740303541315,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,852240,64930,68145,26592,91522,18423,83353,8169,248404,10.738993710691824,9.78046090303201,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,549805,72568,44055,17192,89760,11911,84479,5281,198056,16.32578823401024,15.365265866989205,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,583748,40638,54954,21445,62083,14857,55495,6588,163266,10.635239863776835,9.506670686666165,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,161453,10241,19072,7442,17683,5156,15397,2286,68470,10.952413395848946,9.536521464450955,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,True,True,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
