district,official_all_industry_employment,core_office_employment,core_share_of_district_employment_percentage,core_share_of_shanghai_all_industry_percentage,broad_office_employment,broad_share_of_district_employment_percentage,broad_share_of_shanghai_all_industry_percentage,reference_date,employment_universe
黄浦区,712613,158769,22.27983491740959,1.211996065587286,478374,67.12956401300566,3.6517670696373496,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,1027746,258823,25.183557026736175,1.975779010282222,571893,55.645363737732865,4.365663737485968,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,602150,105111,17.455949514240636,0.8023866022330883,299213,49.690774723906,2.2841044459092683,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,973987,194334,19.952422362926818,1.4834888637570283,604189,62.032552795879205,4.612201946671685,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,524969,100906,19.221325449693218,0.7702868632677077,288085,54.876573664349706,2.199156551686496,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,409389,71077,17.361726866134656,0.5425810098554977,226952,55.43676063597215,1.7324851266756462,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,510562,146985,28.78886403610139,1.1220404594117694,322470,63.15981212859555,2.4616415753070946,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,1278262,229092,17.922147415788,1.748821260180026,605180,47.34397173662364,4.619766950551516,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,766004,73770,9.630498013065205,0.5631385834663825,353767,46.183440295350934,2.7005537109550186,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,873958,112899,12.91812650035814,0.8618379142574368,307556,35.19116479281613,2.347792465454612,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,2879157,816970,28.375319581391356,6.236509807977911,1534797,53.30716595170044,11.716190978561116,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,393752,20472,5.199211686543814,0.1562772547203983,103875,26.38081838314472,0.7929513400782227,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,852240,64930,7.618745893175631,0.495656611420255,248404,29.147188585375012,1.896243414496181,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,549805,72568,13.198861414501506,0.5539628673578479,198056,36.02295359263739,1.511901522123056,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,583748,40638,6.961565607077026,0.3102185950238152,163266,27.96857548120079,1.2463248470682176,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,161453,10241,6.343022427579544,0.07817679589642433,68470,42.40862665915158,0.5226799350676862,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
