district,official_all_industry_employment,district_core_employment,district_core_plus_base_employment,core_inside,core_plus_base_inside,core_percentage_of_district_captured,core_plus_percentage_of_district_captured,core_contribution_to_reach_numerator_percentage,core_plus_contribution_to_reach_numerator_percentage,spatial_grid_available,minhang_technical_sliver_employment_assigned
黄浦区,712613,158769,233376,157880.49656464657,232076.11210073705,99.44037977479645,99.44300703617213,16.69224272250359,19.14714013397727,True,0.0
徐汇区,1027746,258823,318079,73472.39537951606,90663.76796354546,28.387119915740122,28.503537788896928,7.768021280427488,7.480097173977479,True,0.0
长宁区,602150,105111,146553,33466.147979578745,46975.23897307672,31.838863658017473,32.0534134225002,3.5382778570981626,3.8756314697919048,True,0.0
静安区,973987,194334,283639,118037.5033615372,175134.56696259388,60.73950176579353,61.74558751179981,12.47975968749464,14.449251435583493,True,0.0
普陀区,524969,100906,135283,7294.594264681129,9958.879506313715,7.229098631083512,7.361515864013746,0.7712360974136044,0.8216445017056,True,0.0
虹口区,409389,71077,92225,48245.37900278085,62601.47254032772,67.87762427055284,67.87907025245619,5.100842688468769,5.1648537045583245,True,0.0
杨浦区,510562,146985,168462,66269.6469216901,76061.22082069117,45.08599307527306,45.15037267792806,7.006495771303317,6.275332866585617,True,0.0
闵行区,1278262,229092,301661,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
宝山区,766004,73770,138684,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
嘉定区,873958,112899,150079,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
浦东新区,2879157,816970,958767,441165.377495199,518595.4543694859,54.00019309095793,54.08983145743292,46.64312389529042,42.78604871382032,True,0.0
金山区,393752,20472,32854,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
松江区,852240,64930,91522,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
青浦区,549805,72568,89760,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
奉贤区,583748,40638,62083,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
崇明区,161453,10241,17683,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0
