district,accounting_stratum_id,control_name,control_type,official_control_total_employment,employment_I,employment_J,employment_M,employment_721,employment_723,employment_724,employment_725,inside_I,inside_J,inside_M,inside_721,inside_723,inside_724,inside_725,control_core_employment,control_core_plus_base_employment,core_inside_50min,core_plus_base_inside_50min,core_capture_percentage,core_plus_capture_percentage,contribution_to_core_plus_base_numerator_percentage,numerator_rank,fine_control_rank
浦东新区,310115503000,张江高科技园区,functional_zone,469000,53394,44563,35123,7096,1564,11310,3129,53307.29911808599,44488.314748197445,35066.764427408634,7084.319746136664,1561.3741573789516,11290.95294051172,3123.9229493242688,133080,156179,132862.37829369208,155922.94808704368,99.83647301900515,99.83605227786302,12.86422161290596,1,1
浦东新区,310115005000,陆家嘴街道,street,200750,22855,19075,15034,3037,669,4841,1339,22840.831034442217,19067.206862653773,15022.448696841662,3035.4161460426494,669.0,4839.391405767899,1338.9752597252502,56964,66850,56930.48659393765,66813.26940547345,99.941167393332,99.94505520639258,5.512342569581133,3,2
浦东新区,310115004000,潍坊新村街道,street,153750,17504,14609,11514,2326,512,3708,1026,17504.0,14609.0,11514.0,2326.0,512.0,3708.0,1026.0,43627,51199,43627.0,51199.0,100.0,100.0,4.224107422542385,4,3
静安区,310106012000,南京西路街道,street,152000,14247,138,8381,4548,1002,7248,2005,14247.0,138.0,8381.0,4548.0,1002.0,7248.0,2005.0,22766,37569,22766.0,37569.0,100.0,100.0,3.099581862096816,5,4
黄浦区,310101017000,小东门街道,street,126442,6940,1769,8017,4540,1001,7237,2002,6940.0,1769.0,8017.0,4540.0,1001.0,7237.0,2002.0,16726,31506,16726.0,31506.0,100.0,100.0,2.5993618714158555,7,5
静安区,310106015000,天目西路街道,street,161000,15090,146,8878,4817,1062,7677,2124,11718.60261535424,107.15387350223008,6998.6018696647,3665.455182366572,790.5800489336436,5897.695669845324,1593.093119840893,24114,39794,18824.358358521167,30771.1823795076,78.06402238749757,77.32618580566819,2.538736691921395,8,6
虹口区,310109018000,北外滩街道,street,133468,6878,9868,6426,2118,467,3376,934,6878.0,9868.0,6426.0,2118.0,467.0,3376.0,934.0,23172,30067,23172.0,30067.0,100.0,100.0,2.4806390334495183,9,7
徐汇区,310104014000,徐家汇街道,street,216300,31496,0,21537,4126,909,6576,1819,13790.082554690918,0.0,9545.79153870355,1815.944660085944,396.7156700183903,2896.631782772765,812.1486285210826,53033,66463,23335.87409339447,29257.31483479265,44.002553303404426,44.020454741424025,2.413837003795134,11,8
黄浦区,310101013000,外滩街道,street,113352,6221,1586,7188,4070,897,6488,1794,6221.0,1586.0,7188.0,4070.0,897.0,6488.0,1794.0,14995,28244,14995.0,28244.0,100.0,100.0,2.330234771036292,12,9
浦东新区,310115016000,花木街道,street,81750,9307,7768,6122,1237,273,1971,545,9306.930321158445,7767.999031345782,6121.930321158443,1237.0,273.0,1971.0,545.0,23197,27223,23196.859673662664,27222.859673662664,99.99939506687356,99.9994845302232,2.2459869061963755,13,10
