district,accounting_stratum_id,control_name,control_type,official_control_total_employment,employment_I,employment_J,employment_M,employment_721,employment_723,employment_724,employment_725,inside_I,inside_J,inside_M,inside_721,inside_723,inside_724,inside_725,control_core_employment,control_core_plus_base_employment,core_inside_50min,core_plus_base_inside_50min,core_capture_percentage,core_plus_capture_percentage,contribution_to_core_plus_base_numerator_percentage,numerator_rank
黄浦区,310101-finance-residual,310101-finance-residual,residual,74334,0,74334,0,0,0,0,0,0.0,73923.51011825887,0.0,0.0,0.0,0.0,0.0,74334,74334,73923.51011825887,73923.51011825887,99.447776412219,99.447776412219,6.098963803803286,2
浦东新区,310115-unsubdivided-residual,310115-unsubdivided-residual,residual,264157,30073,25100,19782,3997,881,6370,1762,12367.432093099884,11078.431062292795,7876.006381286719,1853.895123665926,593.2702996253427,2746.998080933675,971.7222910513676,74955,87965,31321.8695366794,37487.75533195571,41.787565254725365,42.61667178077157,3.0928788756063006,6
静安区,310106-finance-residual,310106-finance-residual,residual,56987,0,56987,0,0,0,0,0,0.0,29695.947376005737,0.0,0.0,0.0,0.0,0.0,56987,56987,29695.947376005737,29695.947376005737,52.11003803675529,52.11003803675529,2.4500258155513563,10
徐汇区,310104-construction-finance-residual,310104-construction-finance-residual,residual,73346,0,24820,0,0,0,0,0,0.0,5641.767188771801,0.0,0.0,0.0,0.0,0.0,24820,24820,5641.767188771801,5641.767188771801,22.73073001116761,22.73073001116761,0.4654667211927391,56
虹口区,310109-special-channel-residual,310109-special-channel-residual,residual,29556,1523,2185,1423,469,103,748,207,808.6863014008827,1231.3829553987628,743.7495097371724,261.3448245328556,56.04883403230873,399.3070098993685,112.10387381257053,5131,6658,2783.8187665368177,3612.6233088139206,54.254897028587365,54.25988748594053,0.29805482399286143,62
杨浦区,310110-finance-construction-residual,310110-finance-construction-residual,residual,9539,0,9226,0,0,0,0,0,0.0,2715.8386985080947,0.0,0.0,0.0,0.0,0.0,9226,9226,2715.8386985080947,2715.8386985080947,29.436794911208487,29.436794911208487,0.2240667670227132,66
长宁区,310105-finance-residual,310105-finance-residual,residual,5174,0,5174,0,0,0,0,0,0.0,1350.6178259550452,0.0,0.0,0.0,0.0,0.0,5174,5174,1350.6178259550452,1350.6178259550452,26.10393942703991,26.10393942703991,0.11143098075420937,75
普陀区,310107-finance-residual,310107-finance-residual,residual,12969,0,11667,0,0,0,0,0,0.0,508.39643943584815,0.0,0.0,0.0,0.0,0.0,11667,11667,508.39643943584815,508.39643943584815,4.3575592648997015,4.3575592648997015,0.041944592148578805,82
宝山区,outer-宝山区-residual,outer-宝山区-residual,residual,4784,0,4784,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784,4784,0.0,0.0,0.0,0.0,0.0,218
嘉定区,outer-嘉定区-residual,outer-嘉定区-residual,residual,9871,0,9871,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9871,9871,0.0,0.0,0.0,0.0,0.0,219
松江区,outer-松江区-residual,outer-松江区-residual,residual,4428,114,18,206,42,9,68,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,476,0.0,0.0,0.0,0.0,0.0,220
青浦区,outer-青浦区-residual,outer-青浦区-residual,residual,4607,0,4607,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607,4607,0.0,0.0,0.0,0.0,0.0,221
奉贤区,outer-奉贤区-residual,outer-奉贤区-residual,residual,4699,0,4699,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4699,4699,0.0,0.0,0.0,0.0,0.0,222
崇明区,outer-崇明区-residual,outer-崇明区-residual,residual,5425,0,5425,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5425,5425,0.0,0.0,0.0,0.0,0.0,223
