district,official_all_industry_employment,core_office_employment_hard_control,official_division_72_employment,low_office_intensity_selected_72_employment,low_office_intensity_selected_72_share_of_official_division_72_percentage,low_office_intensity_core_plus_employment,low_office_intensity_core_plus_share_of_district_employment_percentage,low_office_intensity_employment_rank,low_office_intensity_intensity_rank,base_selected_72_employment,base_selected_72_share_of_official_division_72_percentage,base_core_plus_employment,base_core_plus_share_of_district_employment_percentage,base_employment_rank,base_intensity_rank,high_office_intensity_selected_72_employment,high_office_intensity_selected_72_share_of_official_division_72_percentage,high_office_intensity_core_plus_employment,high_office_intensity_core_plus_share_of_district_employment_percentage,high_office_intensity_employment_rank,high_office_intensity_intensity_rank,low_office_intensity_difference_from_base_employment,low_office_intensity_employment_rank_change_from_base,low_office_intensity_intensity_rank_change_from_base,base_difference_from_base_employment,base_employment_rank_change_from_base,base_intensity_rank_change_from_base,high_office_intensity_difference_from_base_employment,high_office_intensity_employment_rank_change_from_base,high_office_intensity_intensity_rank_change_from_base,district_sensitivity_role,scenario_method,core_is_hard_control,core_plus_is_composition_sensitivity,no_spatial_allocation_performed,grid_created,reach_percentage_calculated,reference_date,employment_universe
黄浦区,712613,158769,191187,70566,36.90941329692918,229335,32.18226442683476,5,3,74607,39.023050730436694,233376,32.7493323865829,5,3,78648,41.1366881639442,237417,33.31640034633104,5,1,-4041,0,0,0,0,0,4041,0,-2,priority_office_centre,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,1027746,258823,151850,59256,39.02271978926572,318079,30.949183942335946,2,4,59256,39.02271978926572,318079,30.949183942335946,2,4,59256,39.02271978926572,318079,30.949183942335946,2,4,0,0,0,0,0,0,0,0,0,neutral,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,602150,105111,106199,39198,36.90995207111178,144309,23.96562318359213,9,7,41442,39.022966317950264,146553,24.33828780204268,8,7,43686,41.135980564788746,148797,24.710952420493232,8,7,-2244,1,0,0,0,0,2244,0,0,priority_office_centre,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,973987,194334,228852,84469,36.90988062153706,278803,28.624920045134072,4,5,89305,39.02303672242323,283639,29.121435912388975,4,5,94141,41.136192823309386,288475,29.617951779643874,4,5,-4836,0,0,0,0,0,4836,0,0,priority_office_centre,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,524969,100906,88096,32515,36.908599709407916,133421,25.415024506208937,10,6,34377,39.022203051216856,135283,25.769712116334485,10,6,36239,41.135806393025796,137145,26.12439972646004,9,6,-1862,0,0,0,0,0,1862,-1,0,priority_office_centre,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,409389,71077,54193,21148,39.02349011865001,92225,22.52747386959591,11,9,21148,39.02349011865001,92225,22.52747386959591,11,9,21148,39.02349011865001,92225,22.52747386959591,11,9,0,0,0,0,0,0,0,0,0,neutral,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,510562,146985,55036,21477,39.02354822298132,168462,32.9954050634399,6,2,21477,39.02354822298132,168462,32.9954050634399,6,2,21477,39.02354822298132,168462,32.9954050634399,6,3,0,0,0,0,0,0,0,0,1,neutral,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,1278262,229092,185963,72569,39.02335410807527,301661,23.599309061835523,3,8,72569,39.02335410807527,301661,23.599309061835523,3,8,72569,39.02335410807527,301661,23.599309061835523,3,8,0,0,0,0,0,0,0,0,0,neutral,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,766004,73770,166347,77897,46.82801613494683,151667,19.79976605866288,7,10,64914,39.023246586953775,138684,18.104866293126406,9,10,51931,31.218477038960728,125701,16.409966527589933,10,11,12983,-2,0,0,0,0,-12983,1,1,composition_risk,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,873958,112899,95276,37180,39.02346865947353,150079,17.17233551269054,8,11,37180,39.02346865947353,150079,17.17233551269054,7,11,37180,39.02346865947353,150079,17.17233551269054,7,10,0,1,0,0,0,0,0,0,-1,neutral,subgroup-conserving targeted composition sensitivity: Base preserves the current maximum-entropy allocation; Low transfers 20% of Baoshan's Base selected-72 allocation from Huangpu/Jing'an/Changning/Putuo to Baoshan; High reverses the same transfer. Each 721/723/724/725 Shanghai total is preserved exactly.,True,True,True,False,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
