district,accounting_stratum_id,control_name,boundary_support,boundary_source,osm_relation_id,osm_relation_name,osm_snapshot_date,geometry_is_approximate,area_km2
闵行区,闵行区-district-fallback,闵行区 district total,district_fallback,approximate parent-district overlay; no reusable matching fine polygon,,,,True,372.94621500091426
宝山区,outer-宝山区-01,友谊路街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3532312,友谊路街道,2026-08-30,True,9.211073744709969
宝山区,outer-宝山区-02,吴淞街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3532319,吴淞街道,2026-08-30,True,9.079327087758202
宝山区,outer-宝山区-03,张庙街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3530696,张庙街道,2026-08-30,True,4.755834418160169
宝山区,outer-宝山区-04,罗店镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3531102,罗店镇,2026-08-30,True,44.327504984915066
宝山区,outer-宝山区-05,大场镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3532288,大场镇,2026-08-30,True,36.80688605714099
宝山区,outer-宝山区-06,杨行镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3532291,杨行镇,2026-08-30,True,39.308508723146495
宝山区,outer-宝山区-07,月浦镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3532305,月浦镇,2026-08-30,True,47.783773555845805
宝山区,outer-宝山区-08,罗泾镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3531114,罗泾镇,2026-08-30,True,41.00789253795606
宝山区,outer-宝山区-09,顾村镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3531170,顾村镇,2026-08-30,True,41.641734250548936
宝山区,outer-宝山区-10,高境镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3531159,高境镇,2026-08-30,True,7.102979198614707
宝山区,outer-宝山区-11,庙行镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3531125,庙行镇,2026-08-30,True,6.012790178722092
宝山区,outer-宝山区-12,淞南镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,3530842,淞南镇,2026-08-30,True,14.165512575694704
宝山区,outer-宝山区-13,宝山高新区,district_overlay,approximate parent-district overlay; no reusable matching fine polygon,,,,True,301.93666353577703
嘉定区,outer-嘉定区-01,安亭镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000634,安亭镇,2026-08-30,True,88.58520010408832
嘉定区,outer-嘉定区-02,江桥镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000636,江桥镇,2026-08-30,True,41.821995126035745
嘉定区,outer-嘉定区-03,马陆镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000641,马陆镇,2026-08-30,True,70.04489957954554
嘉定区,outer-嘉定区-04,南翔镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000640,南翔镇,2026-08-30,True,33.109500441260636
嘉定区,outer-嘉定区-05,嘉定工业区,district_overlay,approximate parent-district overlay; no reusable matching fine polygon,,,,True,461.90026503646624
嘉定区,outer-嘉定区-06,外冈镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000639,外冈镇,2026-08-30,True,50.59798866233535
嘉定区,outer-嘉定区-07,徐行镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000637,徐行镇,2026-08-30,True,39.93007047862161
嘉定区,outer-嘉定区-08,真新街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,15708594,真新街道,2026-08-30,True,5.26530862492345
嘉定区,outer-嘉定区-09,菊园新区,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000643,菊园街道,2026-08-30,True,18.792201538647976
嘉定区,outer-嘉定区-10,华亭镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000638,华亭镇,2026-08-30,True,39.23490343282929
嘉定区,outer-嘉定区-11,新成路街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000642,新成路街道,2026-08-30,True,5.487542656738141
嘉定区,outer-嘉定区-12,嘉定镇街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17000644,嘉定镇街道,2026-08-30,True,4.007349824977603
金山区,金山区-district-fallback,金山区 district total,district_fallback,approximate parent-district overlay; no reusable matching fine polygon,,,,True,607.3689349488435
松江区,outer-松江区-01,岳阳街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16202388,岳阳街道,2026-08-30,True,5.667167890175755
松江区,outer-松江区-02,永丰街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16202389,永丰街道,2026-08-30,True,24.374509893123726
松江区,outer-松江区-03,方松街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,5117873,方松街道,2026-08-30,True,14.83955441812571
松江区,outer-松江区-04,中山街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17191453,中山街道,2026-08-30,True,39.912589938647386
松江区,outer-松江区-05,广富林街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16202387,广富林街道,2026-08-30,True,18.906728617303106
松江区,outer-松江区-06,九里亭街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16162302,九里亭街道,2026-08-30,True,6.778215131214772
松江区,outer-松江区-07,泗泾镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17016138,泗泾镇,2026-08-30,True,24.049093706063637
松江区,outer-松江区-08,佘山镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17685018,佘山镇,2026-08-30,True,66.48133112472654
松江区,outer-松江区-09,车墩镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17191450,车墩镇,2026-08-30,True,50.62381894208493
松江区,outer-松江区-10,新桥镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17191452,新桥镇,2026-08-30,True,35.93741647826638
松江区,outer-松江区-11,洞泾镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17191451,洞泾镇,2026-08-30,True,25.078921734135857
松江区,outer-松江区-12,九亭镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16202386,九亭镇,2026-08-30,True,24.455921988610886
松江区,outer-松江区-13,泖港镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885626,泖港镇,2026-08-30,True,57.43904954414628
松江区,outer-松江区-14,石湖荡镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,16490107,石湖荡镇,2026-08-30,True,44.37789317017774
松江区,outer-松江区-15,新浜镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17715762,新浜镇,2026-08-30,True,44.38385584391532
松江区,outer-松江区-16,叶榭镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885642,叶榭镇,2026-08-30,True,72.65641894551327
松江区,outer-松江区-17,小昆山镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17685019,小昆山镇,2026-08-30,True,47.99877468297029
松江区,outer-松江区-18,松江经济技术开发区,district_overlay,approximate parent-district overlay; no reusable matching fine polygon,,,,True,604.4302478685001
青浦区,outer-青浦区-01,赵巷镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979867,赵巷镇,2026-08-30,True,41.25342067063858
青浦区,outer-青浦区-02,徐泾镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979866,徐泾镇,2026-08-30,True,39.49364562333848
青浦区,outer-青浦区-03,华新镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979864,华新镇,2026-08-30,True,47.30848848214272
青浦区,outer-青浦区-04,重固镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979862,重固镇,2026-08-30,True,29.14435691004958
青浦区,outer-青浦区-05,白鹤镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979863,白鹤镇,2026-08-30,True,58.30775743041555
青浦区,outer-青浦区-06,朱家角镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979869,朱家角镇,2026-08-30,True,134.97494473530966
青浦区,outer-青浦区-07,练塘镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979870,练塘镇,2026-08-30,True,93.08099753555261
青浦区,outer-青浦区-08,金泽镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979871,金泽镇,2026-08-30,True,108.08228415937157
青浦区,outer-青浦区-09,夏阳街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979861,夏阳街道,2026-08-30,True,36.42729252856887
青浦区,outer-青浦区-10,盈浦街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979868,盈浦街道,2026-08-30,True,16.45513159167882
青浦区,outer-青浦区-11,香花桥街道,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,12979865,香花桥街道,2026-08-30,True,62.74574136022828
奉贤区,outer-奉贤区-01,南桥镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885600,南桥镇,2026-08-30,True,49.32692904062417
奉贤区,outer-奉贤区-02,奉城镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885593,奉城镇,2026-08-30,True,109.85781568411231
奉贤区,outer-奉贤区-03,庄行镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885599,庄行镇,2026-08-30,True,70.04181356053148
奉贤区,outer-奉贤区-04,金汇镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885595,金汇镇,2026-08-30,True,71.69557676277577
奉贤区,outer-奉贤区-05,四团镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17809482,四团镇,2026-08-30,True,72.94950572433713
奉贤区,outer-奉贤区-06,青村镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885594,青村镇,2026-08-30,True,73.06688621158011
奉贤区,outer-奉贤区-07,柘林镇,osm_relation,OpenStreetMap exact-name administrative relation clipped to parent district,17885598,柘林镇,2026-08-30,True,95.05577548873428
