district,accounting_stratum_id,official_control_name_2023,control_type,employment_published,employment_reconciled,rounding_lower,rounding_upper,publication_unit,row_is_official_fine_control,fine_table_status,source_url,source_table,boundary_support,osm_match_name,geometry_is_approximate
闵行区,闵行区-district-fallback,闵行区 district total,district_fallback,1278262.0,1278262,1278262,1278262,people,False,no compatible Fifth Economic Census fine table located,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,Shanghai district total A1-02,district_fallback,,True
宝山区,outer-宝山区-01,友谊路街道,street,4.78,47795,47750,47850,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,友谊路街道,True
宝山区,outer-宝山区-02,吴淞街道,street,3.5,34996,34950,35050,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,吴淞街道,True
宝山区,outer-宝山区-03,张庙街道,street,1.56,15598,15550,15650,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,张庙街道,True
宝山区,outer-宝山区-04,罗店镇,town,4.95,49495,49450,49550,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,罗店镇,True
宝山区,outer-宝山区-05,大场镇,town,8.32,83191,83150,83250,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,大场镇,True
宝山区,outer-宝山区-06,杨行镇,town,15.01,150084,150050,150150,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,杨行镇,True
宝山区,outer-宝山区-07,月浦镇,town,6.17,61694,61650,61750,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,月浦镇,True
宝山区,outer-宝山区-08,罗泾镇,town,1.96,19598,19550,19650,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,罗泾镇,True
宝山区,outer-宝山区-09,顾村镇,town,7.81,78092,78050,78150,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,顾村镇,True
宝山区,outer-宝山区-10,高境镇,town,10.22,102189,102150,102250,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,高境镇,True
宝山区,outer-宝山区-11,庙行镇,town,2.89,28897,28850,28950,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,庙行镇,True
宝山区,outer-宝山区-12,淞南镇,town,3.42,34197,34150,34250,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,osm_relation,淞南镇,True
宝山区,outer-宝山区-13,宝山高新区,functional_zone,5.54,55394,55350,55450,"10,000 persons, two decimals",True,official rounded counts; constrained within published rounding intervals,https://xxgk.shbsq.gov.cn/article.html?infoid=32cde990-f9fa-496d-8a12-54b34e699b42,Table 1-5,district_overlay,,True
嘉定区,outer-嘉定区-01,安亭镇,town,18.4,159151,158559,159425,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,安亭镇,True
嘉定区,outer-嘉定区-02,江桥镇,town,15.0,129743,129181,130046,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,江桥镇,True
