scenario,weighting_scenario,district,accounting_stratum_id,control_name,control_type,industry_code,assigned_employment,allocated_employment,reconciliation_difference,cell_count,positive_weight_cells,positive_employment_cells,top_1_percent_cell_employment_share,gini_cell_employment,maximum_cell_employment,realized_jrc_nonresidential_volume_share,realized_osm_building_function_footprint_share,realized_osm_office_establishments_share,realized_overture_poi_supplement_share,uniform_fallback_used,no_log_cap_winsorize_or_minmax,generic_ppml_fitted,uniform_allocation_used_as_main
base,base,黄浦区,310101002000,南京东路街道,street,I,5590,5590,0,284,209,167,0.20626118067978533,0.8126647181838796,679,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101013000,外滩街道,street,I,6221,6221,0,270,189,158,0.16797942452981834,0.83423708228402,378,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101015000,半淞园路街道,street,I,1665,1665,0,336,182,129,0.18498498498498497,0.8489900614900615,98,0.6666666666666666,0.2777777777777778,0.0,0.05555555555555556,False,True,False,False
base,base,黄浦区,310101017000,小东门街道,street,I,6940,6940,0,317,122,114,0.2521613832853026,0.9028127528432076,720,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101018000,豫园街道,street,I,1080,1080,0,150,127,99,0.13796296296296295,0.7453703703703703,81,0.6666666666666666,0.2777777777777778,0.0,0.05555555555555556,False,True,False,False
base,base,黄浦区,310101019000,老西门街道,street,I,896,896,0,149,79,64,0.18191964285714285,0.85757730105465,88,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101020000,五里桥街道,street,I,2522,2522,0,356,162,131,0.31522601110229975,0.8965663954949256,261,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101021000,打浦桥街道,street,I,2741,2741,0,195,144,110,0.14228383801532288,0.8152704889662205,204,0.6,0.25,0.1,0.05,False,True,False,False
base,base,黄浦区,310101022000,淮海中路街道,street,I,4477,4477,0,175,154,130,0.11525575161938799,0.7482102173011264,267,0.6666666666666666,0.2777777777777778,0.0,0.05555555555555556,False,True,False,False
base,base,黄浦区,310101023000,瑞金二路街道,street,I,2900,2900,0,233,178,134,0.2403448275862069,0.8402071925410686,293,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104003000,天平路街道,street,I,8417,8417,0,319,213,174,0.19318046810027326,0.8495212145296335,440,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104004000,湖南路街道,street,I,7091,7091,0,214,159,124,0.30771400366661966,0.886831009954701,939,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104007000,斜土路街道,street,I,4339,4339,0,381,192,171,0.21848352154874395,0.8494706195834762,265,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104008000,枫林路街道,street,I,8271,8271,0,323,197,177,0.28255350018135655,0.8636674149261866,759,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104010000,长桥街道,street,I,3014,3014,0,660,289,243,0.18812209688122097,0.8555217067824898,108,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104011000,田林街道,street,I,11008,11008,0,467,284,264,0.11437136627906977,0.7826073931826104,296,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104012000,虹梅路街道,street,I,38166,38166,0,523,357,342,0.14224702614892837,0.7149280154751173,1262,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104013000,康健新村街道,street,I,2315,2315,0,460,93,71,0.460475161987041,0.9601493097943469,308,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104014000,徐家汇街道,street,I,31496,31496,0,465,342,331,0.11849123698247396,0.7941037742290539,807,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104015000,凌云路街道,street,I,1777,1777,0,407,162,133,0.2566122678671919,0.8832322371995979,138,0.6,0.25,0.1,0.05,False,True,False,False
base,base,徐汇区,310104016000,龙华街道,street,I,8679,8679,0,687,324,288,0.19138149556400508,0.8283767490435596,390,0.6,0.25,0.1,0.05,False,True,False,False
