cluster_id,weighting_scenario,cluster_name,longitude,latitude,expected_district,allocation_architecture,analysis_x,analysis_y,validation_radius_m,local_cell_count,local_area_km2,core_plus_base_employment_in_radius,local_employment_density_per_km2,expected_district_employment_density_per_km2,local_to_district_density_ratio,maximum_local_cell_employment,maximum_local_cell_percentile_among_positive_cells,emergence_density_ratio_threshold,emergence_max_cell_percentile_threshold,cluster_emerges_under_declared_rule,strong_density_ratio_threshold,strong_max_cell_percentile_threshold,strong_cluster_emerges_under_declared_rule,reach_polygon_used
lujiazui,base,Lujiazui,121.5025,31.2397,浦东新区,fine_control_base,357390.85845770827,3457133.8645098177,1500.0,778,7.07,72387,10238.613861386139,683.8754604135822,14.971459650261773,1120,99.58137524982445,1.0,95.0,True,1.5,90.0,True,False
peoples-square-nanjing-road,base,People's Square / Nanjing Road,121.4737,31.2335,黄浦区,fine_control_base,354638.39644351066,3456484.1566734104,1500.0,759,7.07,136386,19290.80622347949,11353.941444374566,1.6990404889781539,4046,99.99729919516017,1.0,95.0,True,1.5,90.0,True,False
jingan,base,Jing'an,121.445,31.229,静安区,fine_control_base,351897.7380648883,3456023.4642529404,1500.0,763,7.09,101746,14350.634696755995,7720.077716531791,1.8588717916693396,3129,99.97569275644142,1.0,95.0,True,1.5,90.0,True,False
xujiahui,base,Xujiahui,121.4375,31.1954,徐汇区,fine_control_base,351130.688588375,3452309.050732362,1500.0,724,7.06,79570,11270.538243626062,5763.181384840745,1.955610537136947,1767,99.87306217252741,1.0,95.0,True,1.5,90.0,True,False
zhangjiang,base,Zhangjiang,121.593,31.205,浦东新区,fine_control_base,365961.16934812453,3453174.2327214894,1500.0,706,7.06,96979,13736.402266288953,683.8754604135822,20.086116641737213,1779,99.87576297736726,1.0,95.0,True,1.5,90.0,True,False
wujiaochang,base,Wujiaochang,121.514,31.302,杨浦区,fine_control_base,358579.1271040863,3464024.8463049983,1500.0,709,7.09,27838,3926.3751763046544,2784.131416375067,1.4102693404526092,3491,99.99189758548047,1.0,95.0,True,1.5,90.0,False,False
hongqiao,base,Hongqiao development area,121.405,31.205,长宁区,fine_control_base,348049.1871888554,3453417.40704051,1500.0,708,6.8800859017785,42298,6147.888355444222,3943.814598994988,1.5588685018334543,1518,99.81094366121104,1.0,95.0,True,1.5,90.0,True,False
lujiazui,building_volume_dominant,Lujiazui,121.5025,31.2397,浦东新区,fine_control_building_volume_dominant,357390.85845770827,3457133.8645098177,1500.0,778,7.07,74876,10590.664780763791,683.8754604135822,15.486247707088296,1270,99.6924571058595,1.0,95.0,True,1.5,90.0,True,False
peoples-square-nanjing-road,building_volume_dominant,People's Square / Nanjing Road,121.4737,31.2335,黄浦区,fine_control_building_volume_dominant,354638.39644351066,3456484.1566734104,1500.0,759,7.07,137722,19479.77369165488,11353.941444374566,1.7156838254883149,3226,99.99730225531455,1.0,95.0,True,1.5,90.0,True,False
jingan,building_volume_dominant,Jing'an,121.445,31.229,静安区,fine_control_building_volume_dominant,351897.7380648883,3456023.4642529404,1500.0,763,7.09,100031,14108.744710860366,7720.077716531791,1.8275392073641785,3048,99.99460451062912,1.0,95.0,True,1.5,90.0,True,False
xujiahui,building_volume_dominant,Xujiahui,121.4375,31.1954,徐汇区,fine_control_building_volume_dominant,351130.688588375,3452309.050732362,1500.0,724,7.06,78427,11108.640226628895,5763.181384840745,1.9275187582762265,2082,99.93255638286392,1.0,95.0,True,1.5,90.0,True,False
zhangjiang,building_volume_dominant,Zhangjiang,121.593,31.205,浦东新区,fine_control_building_volume_dominant,365961.16934812453,3453174.2327214894,1500.0,706,7.06,96939,13730.73654390935,683.8754604135822,20.07783191343862,1409,99.7679939570519,1.0,95.0,True,1.5,90.0,True,False
wujiaochang,building_volume_dominant,Wujiaochang,121.514,31.302,杨浦区,fine_control_building_volume_dominant,358579.1271040863,3464024.8463049983,1500.0,709,7.09,27710,3908.321579689704,2784.131416375067,1.4037848776471658,2604,99.97572029783102,1.0,95.0,True,1.5,90.0,False,False
hongqiao,building_volume_dominant,Hongqiao development area,121.405,31.205,长宁区,fine_control_building_volume_dominant,348049.1871888554,3453417.40704051,1500.0,708,6.8800859017785,42016,6106.900495114294,3943.814598994988,1.5484755537622206,1071,99.49821948850762,1.0,95.0,True,1.5,90.0,True,False
lujiazui,workplace_evidence_emphasis,Lujiazui,121.5025,31.2397,浦东新区,fine_control_workplace_evidence_emphasis,357390.85845770827,3457133.8645098177,1500.0,778,7.07,71548,10119.943422913719,683.8754604135822,14.797933262283687,1301,99.67602591792657,1.0,95.0,True,1.5,90.0,True,False
peoples-square-nanjing-road,workplace_evidence_emphasis,People's Square / Nanjing Road,121.4737,31.2335,黄浦区,fine_control_workplace_evidence_emphasis,354638.39644351066,3456484.1566734104,1500.0,759,7.07,134633,19042.85714285714,11353.941444374566,1.6772023386021717,5552,99.99446198150301,1.0,95.0,True,1.5,90.0,True,False
jingan,workplace_evidence_emphasis,Jing'an,121.445,31.229,静安区,fine_control_workplace_evidence_emphasis,351897.7380648883,3456023.4642529404,1500.0,763,7.09,103409,14585.190409026798,7720.077716531791,1.889254350094694,3241,99.94738882427868,1.0,95.0,True,1.5,90.0,True,False
xujiahui,workplace_evidence_emphasis,Xujiahui,121.4375,31.1954,徐汇区,fine_control_workplace_evidence_emphasis,351130.688588375,3452309.050732362,1500.0,724,7.06,80855,11452.549575070821,5763.181384840745,1.9871922832752023,2432,99.91139170404828,1.0,95.0,True,1.5,90.0,True,False
zhangjiang,workplace_evidence_emphasis,Zhangjiang,121.593,31.205,浦东新区,fine_control_workplace_evidence_emphasis,365961.16934812453,3453174.2327214894,1500.0,706,7.06,97399,13795.892351274788,683.8754604135822,20.173106288872464,2257,99.89477764855734,1.0,95.0,True,1.5,90.0,True,False
wujiaochang,workplace_evidence_emphasis,Wujiaochang,121.514,31.302,杨浦区,fine_control_workplace_evidence_emphasis,358579.1271040863,3464024.8463049983,1500.0,709,7.09,29017,4092.6657263751763,2784.131416375067,1.4699973220746232,5230,99.99169297225453,1.0,95.0,True,1.5,90.0,False,False
hongqiao,workplace_evidence_emphasis,Hongqiao development area,121.405,31.205,长宁区,fine_control_workplace_evidence_emphasis,348049.1871888554,3453417.40704051,1500.0,708,6.8800859017785,42632,6196.43426094137,3943.814598994988,1.5711778800454825,2125,99.87539458381791,1.0,95.0,True,1.5,90.0,True,False
