district,accounting_stratum_id,control_name,control_type,district_direct_core,revised_core,district_direct_core_plus_base,revised_core_plus_base,core_shift_from_district_direct,core_plus_base_shift_from_district_direct,synthetic_control_core_plus_base_employment
徐汇区,310104003000,天平路街道,street,12523.181311521963,14974.52598761812,15355.220564899802,18461.333089482363,2451.344676096158,3106.1125245825606,17760
徐汇区,310104004000,湖南路街道,street,10485.904214363978,13160.82752931693,13001.113712373897,16219.468507968551,2674.923314952952,3218.354795594654,14964
徐汇区,310104007000,斜土路街道,street,13294.93370231196,8933.481237502569,16426.888927667274,10858.882361912798,-4361.452464809392,-5568.0065657544765,9157
徐汇区,310104008000,枫林路街道,street,9557.592551130414,14542.485070922723,11691.92215690891,17990.81439247748,4984.892519792309,6298.892235568572,17453
徐汇区,310104010000,长桥街道,street,11910.541534479393,5896.061675536261,14337.830745849127,7165.293816957661,-6014.479858943132,-7172.536928891466,6360
徐汇区,310104011000,田林街道,street,36576.49150992958,22796.37433196535,45224.19219687914,27638.822809883004,-13780.117177964232,-17585.36938699614,23230
徐汇区,310104012000,虹梅路街道,street,53427.34523778191,69723.27067341217,65961.36244507499,85989.26894647686,16295.925435630263,20027.90650140187,80536
徐汇区,310104013000,康健新村街道,street,2736.888288496954,3879.3448139141346,3294.9679992573633,4789.906737742942,1142.4565254171807,1494.9387384855786,4885
徐汇区,310104014000,徐家汇街道,street,31406.952545048334,55884.622224281695,38713.25982599091,69239.42209396145,24477.66967923336,30526.16226797054,66463
徐汇区,310104015000,凌云路街道,street,10540.28751926554,3734.7186075082705,12666.509335780302,4502.230839326765,-6805.568911757269,-8164.278496453537,3749
徐汇区,310104016000,龙华街道,street,22305.70852461582,16897.862855751282,27394.517968043794,20645.373266158822,-5407.845668864538,-6749.144701884972,18313
徐汇区,310104017000,漕河泾街道,street,28527.753745096088,24588.200986549222,35149.87580834693,30119.955007426954,-3939.5527585468662,-5029.920800919976,27224
徐汇区,310104103000,华泾镇,town,15529.419315958063,3811.224005721266,18861.33831292755,4458.228130224346,-11718.195310236797,-14403.110182703203,3165
普陀区,310107005000,曹杨新村街道,street,2063.7878960541343,3994.8396564255845,2727.563519335207,5433.464386585632,1931.0517603714502,2705.9008672504256,5312
普陀区,310107014000,长风新村街道,street,13649.159522104173,17069.196866447903,18202.649623919504,23072.318659177745,3420.0373443437293,4869.669035258241,21729
普陀区,310107015000,长寿路街道,street,9225.990273340863,17843.508325206752,12536.56482662498,24267.44576724138,8617.518051865889,11730.880940616402,23178
普陀区,310107016000,甘泉路街道,street,1386.5961566702308,3530.844634797013,1804.4470647626633,4838.0644988127315,2144.248478126782,3033.6174340500684,5070
普陀区,310107017000,石泉路街道,street,10304.273114382497,4881.141276675528,13845.525120992334,6297.174602598044,-5423.131837706968,-7548.35051839429,4829
普陀区,310107020000,宜川路街道,street,959.9032605384582,3222.8714314361446,1266.4121282498163,4429.304651676834,2262.9681708976864,3162.8925234270173,4105
普陀区,310107021000,真如镇街道,street,15594.97760076922,6435.950179726431,20915.671026335353,8213.13666469861,-9159.027421042789,-12702.534361636743,6277
普陀区,310107022000,万里街道,street,1478.8047779830824,6371.186055503422,1974.7689614517496,8848.133944808855,4892.38127752034,6873.364983357105,10382
